fid,InputID,TargetID,Distance
"213","99164","42037",2606385.81180266
"214","99164","48504",2649489.10215322
"215","99164","42038",2626682.79326011
"216","99164","42039",2582738.73189845
"217","99164","42040",2617147.77128882
"218","99164","42041",2594300.9709621
"219","99164","48505",2653729.96293992
"220","99164","29324",3217171.0449968
"221","99164","29325",3248629.5727413
"222","99164","27030",3215337.2197282
"223","99164","27040",3252520.56224541
"224","99164","27041",3230542.80476659
"225","99164","27042",3267543.56387784
"226","99164","27043",3237872.34593958
"227","99164","27045",3255694.88145426
"228","99164","27046",3255913.26432602
"229","99164","27047",3229766.14378158
"230","99164","27048",3270609.83276866
"231","99164","27050",3247634.04263504
"232","99164","27051",3268771.055018
"233","99164","27052",3260973.31376791
"234","99164","27053",3237577.44823916
"235","99164","27054",3259465.02574668
"236","99164","27055",3237365.2695947
"237","99164","27101",3270427.52142694
"238","99164","27103",3264348.8525583
"239","99164","27104",3261952.93713427
"240","99164","27105",3264625.17488985
"241","99164","27106",3259165.58265919
"242","99164","27107",3277792.99906414
"243","99164","27109",3263109.77092465
"244","99164","27110",3269779.23071013
"245","99164","27127",3269863.14079187
"246","99164","43469",2746013.57002536
"247","99164","43501",2652919.77905968
"248","99164","43502",2671336.7001876
"249","99164","43504",2699324.13428966
"250","99164","43505",2638564.76236167
"251","99164","43506",2654521.97075143
"252","99164","43511",2719679.35758614
"253","99164","43512",2677049.73940758
"254","99164","43515",2691134.12338799
"255","99164","43516",2714779.72916983
"256","99164","43517",2642653.04894969
"257","99164","43518",2633930.45218519
"258","99164","43519",2667843.10128889
"259","99164","43521",2665459.81675898
"260","99164","43522",2711012.80163207
"261","99164","43523",2703678.86193623
"262","99164","43524",2704772.70496735
"263","99164","43525",2719613.56693598
"264","99164","43526",2648239.06844385
"265","99164","43527",2694550.78769153
"266","99164","43528",2708995.51297142
"267","99164","97884",266111.174605615
"268","99164","97885",122672.003828025
"269","99164","97886",133035.722749825
"270","99164","97901",344772.822090626
"271","99164","97903",278292.470721201
"272","99164","97904",334011.904005716
"273","99164","97905",240940.829715258
"274","99164","97906",359495.144648689
"275","99164","97907",258362.948136094
"276","99164","97908",276084.138601317
"277","99164","97909",276883.375472942
"278","99164","97911",338362.359205689
"279","99164","97914",290978.3310689
"280","99164","97918",299332.637854311
"281","99164","97920",300387.174391163
"282","99164","71944",2365841.97124274
"283","99164","73118",2055716.64841565
"284","99164","71945",2347451.67463282
"285","99164","73119",2060645.99831302
"286","99164","71949",2408791.97251299
"287","99164","71950",2407893.43351212
"288","99164","71952",2393966.55141085
"289","99164","73120",2048174.89735338
"290","99164","73121",2061362.33736874
"291","99164","73122",2050002.24083138
"292","99164","73127",2050622.59874078
"293","99164","73128",2053392.99344698
"294","99164","73129",2065316.12249865
"295","99164","71953",2347621.43881861
"296","99164","73130",2072408.08140715
"297","99164","73131",2055594.41075258
"298","99164","71956",2420378.64088439
"299","99164","73132",2045950.8037541
"300","99164","73134",2045864.40369664
